Kommune,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20
Ammerland,,,,,,,,,,,,,,,,,,,,
Aurich,,,,,,,,,,,,,,,,,,,,
Braunschweig,,,,,,,,,,,,,,,,,,,,
Celle,,,,,,,,,,,,,,,,,,,,
Cloppenburg,,,,,,,,,,,,,,,,,,,,
Cuxhaven,,,,,,,,,,,,,,,,,,,,
Delmenhorst (Stadt),,,,,,,,,,,,,,,,,,,,
Diepholz,,,,,,,,,,,,,,,,,,,,
Emden (Stadt),,,,,,,,,,,,,,,,,,,,
Emsland,,,,,,,,,,,,,,,,,,,,
Friesland,,,,,,,,,,,,,,,,,,,,
Gifhorn,,,,,,,,,,,,,,,,,,,,
Goslar,,,,,,,,,,,,,,,,,,,,
G??ttingen,,,,,,,,,,,,,,,,,,,,
Grafschaft? Bentheim,,,,,,,,,,,,,,,,,,,,
Hameln-Pyrmont,,,,,,,,,,,,,,,,,,,,
Hannover? (Region),,,,,,,,,,,,,,,,,,,,
Harburg,,,,,,,,,,,,,,,,,,,,
Heidekreis,,,,,,,,,,,,,,,,,,,,
Helmstedt,,,,,,,,,,,,,,,,,,,,
Hildesheim,,,,,,,,,,,,,,,,,,,,
Holzminden,,,,,,,,,,,,,,,,,,,,
Leer,,,,,,,,,,,,,,,,,,,,
L??chow-Dannenberg,,,,,,,,,,,,,,,,,,,,6
L??neburg,,,,,,,,,,,,,,,,,,,,
Nienburg/Weser,,,,,,,,,,,,,,,,,,,,
Northeim,,,,,,,,,,,,,,,,,,,,
Oldenburg (Stadt),,,,,,,,,,,,,,,,,,,,
Oldenburg,,,,,,,,,,,,,,,,,,,,
Osnabr??ck (Stadt und Landkreis),,,,,,,,,3,11,13,22,31,58,73,88,101,123,157,192
Osterholz,,,,,,,,,,,,,,,,,,,,
Peine,,,,,,,,,,,,,,,,,,,,
Rotenburg? (W??mme),,,,,,,,,,,,,,,,,,,,
Salzgitter (Stadt),,,,,,,,,,,,,,,,,,,,
Schaumburg,,,,,,,,,,,,,,,,,,,,
Stade,,,,,,,,,,,,,,,,,,,,
Uelzen,,,,,,,,,,,,,,,,,,,,
Vechta,,,,,,,,,,,,,,,,,,,,
Verden,,,,,,,,,,,,,,,,,,,,
Wesermarsch,,,,,,,,,,,,,,,,,,,,
Wilhelmshaven (Stadt),,,,,,,,,,,,,,,,,,,,
Wittmund,,,,,,,,,,,,,,,,,,,,
Wolfenb??ttel,,,,,,,,,,,,,,,,,,,,
Wolfsburg (Stadt),,,,,,,,,,,,,,,,,,,,
